,business_categories,business_city,business_full_address,business_id,business_latitude,business_longitude,business_name,business_neighborhoods,business_open,business_review_count,business_stars,business_state,business_type
0,Accountants; Professional Services; Tax Services; Financial Services,Peoria,"8466 W Peoria Ave
Ste 6
Peoria, AZ 85345",rncjoVoEFUJGCUoC1JgnUA,33.581867,-112.241596,Peoria Income Tax Service,,True,3,5.0,AZ,business
1,Sporting Goods; Bikes; Shopping,Phoenix,"2149 W Wood Dr
Phoenix, AZ 85029",0FNFSzCFP_rGUoJx8W7tJg,33.604054,-112.105933,Bike Doctor,,True,5,5.0,AZ,business
2,,Phoenix,"1134 N Central Ave
Phoenix, AZ 85004",3f_lyB6vFK48ukH6ScvLHg,33.4605258,-112.0739333,Valley Permaculture Alliance,,True,4,5.0,AZ,business
3,Food; Grocery,Phoenix,"845 W Southern Ave
Phoenix, AZ 85041",usAsSV36QmUej8--yvN-dg,33.3922099,-112.0853773,Food City,,True,5,3.5,AZ,business
4,Food; Bagels; Delis; Restaurants,Glendale Az,"6520 W Happy Valley Rd
Ste 101
Glendale Az, AZ 85310",PzOqRohWw7F7YEPBz6AubA,33.712797,-112.200264,Hot Bagels & Deli,,True,14,3.5,AZ,business
5,Women's Clothing; Fashion; Shopping,Glendale,"The Americana at Brand
869 Americana Way
Glendale, CA 91210",gtQzAiy7D-dPU8WzT3jX3Q,33.6077660588006,-112.481632232666,Barney's New York Co-op,,True,6,4.5,CA,business
6,"Music & DVDs; Books, Mags, Music & Video; Vinyl Records; Shopping",Phoenix,"1850 W Camelback Rd
Ste 1
Phoenix, AZ 85015",FrBCYtCS_jydDjg1KsIgWQ,33.5096582,-112.0987501,Zia Record Exchange,,True,21,3.5,AZ,business
7,Event Planning & Services; Venues & Event Spaces,Phoenix,"3415 W Northern Ave
Phoenix, AZ 85051",yaXAD-Mv2K2PEZobmqjIYA,33.551903,-112.132866,Reflections Bingo,,True,4,5.0,AZ,business
8,Art Schools; Specialty Schools; Shopping; Jewelry; Accessories; Fashion; Education,Scottsdale,"6938 E 1st St
Scottsdale, AZ 85251",o3ehs4ZEdsizbJyB9_j7uQ,33.492195,-111.9312992,Jam,,True,14,5.0,AZ,business
9,Sandwiches; Restaurants,Gilbert,"891 E Baseline Rd
Suite 102
Gilbert, AZ 85233",qarobAbxGSHI7ygf1f7a_Q,33.3788385,-111.8120071,Jersey Mike's Subs,,True,10,3.5,AZ,business
10,"Music & DVDs; Books, Mags, Music & Video; Musical Instruments & Teachers; Shopping",Scottsdale,"8860 E Chaparral Rd
Ste 100
Scottsdale, AZ 85250",C1xciP65n4t4R1Q4h1zOHw,33.5135194,-111.8887889,Fender Musical Instruments Corporation,,True,4,4.5,AZ,business
11,Mexican; Restaurants,Phoenix,"519 W Thomas Rd
Phoenix, AZ 85013",gA5CuBxF-0CnOpGnryWJdQ,33.480105,-112.0813612,La Paloma Mexican Food,,True,5,4.0,AZ,business
12,Food; Grocery,Goodyear,"2075 N Pebble Creek Pkwy
Goodyear, AZ 85395",acaBJcFEKPmmSDIO6c-ZGQ,33.468815,-112.3920218,Basha's,,True,3,3.0,AZ,business
13,Pizza; Restaurants,Scottsdale,"14418 N Scottsdale Rd
Suite 181
Scottsdale, AZ 85254",JxVGJ9Nly2FFIs_WpJvkug,33.6174589,-111.926272,Sauce,,True,55,4.0,AZ,business
14,Hotels & Travel; Event Planning & Services; Hotels,Chandler,"3535 W Chandler Blvd
Chandler, AZ 85226",9iLiMm3Z9nepRDu1AhgEoQ,33.3054266,-111.9032256,Windmill Inns & Suites,,True,7,4.5,AZ,business
15,Department Stores; Fashion; Shopping,Phoenix,"4500 E Cactus Rd
Phoenix, AZ 85032",G2Re2E5Jkv_UF1xrenSsDg,33.5993236,-111.9820907,Macy's,,True,11,4.0,AZ,business
16,Window Washing; Home Services,Tempe,"7501 S McAllister Ave
Tempe, AZ 85283",8lTdJA9GK59-NzJwleSJBQ,33.3503,-111.931256,Clearly Professional Window Cleaning,,True,12,5.0,AZ,business
17,Burgers; Restaurants,Phoenix,"8941 N Black Canyon Hwy
Phoenix, AZ 85021",Jj7bcQ6NDfKoz4TXwvYfMg,33.566989,-112.116243,Fuddruckers,,True,23,4.0,AZ,business
18,Kitchen & Bath; Shopping; Home & Garden,Chandler,"7131 W Ray Rd
Suite 14
Chandler, AZ 85226",OMXAkiWyKz0AM6PwwuP38Q,33.317906,-111.964138,Sur La Table,,True,15,4.0,AZ,business
19,"Food; Beer, Wine & Spirits",Carefree,"100 Easy St
Carefree, AZ 85377",K0v87iFgB3sXSzw6e-BJ5w,33.8242305,-111.9229042,AZ Wine Company,,True,8,4.5,AZ,business
20,Plumbing; Home Services,Mesa,"Mesa, AZ 85215",jcQgDviuCuJLJWjYoTy9MA,33.519545,-111.5468301,Rocket Rooter Plumbing and Drain Service,,True,4,5.0,AZ,business
21,Bars; Nightlife; Lounges,Scottsdale,"Mondrian Hotel Scottsdale
7353 E Indian School Rd
Scottsdale, AZ 85251",QL3vFMAsEHqfi1KGH-4igg,33.49447,-111.924226,Red Bar,,False,11,3.0,AZ,business
22,Buffets; Dim Sum; Chinese; Restaurants,Phoenix,"10227 N Metro Pkwy E
Phoenix, AZ 85051",yOYFhiTjT-SM4spKtDk92w,33.5803589,-112.120516,China Chan Restaurant,,False,42,3.5,AZ,business
23,Burgers; Fast Food; Restaurants,Scottsdale,"9251 E Shea Blvd
Scottsdale, AZ 85258",4IAzFJ159GEaIGX1-y6Bmw,33.581867,-111.881625,McDonald's,,True,3,2.5,AZ,business
24,Department Stores; Fashion; Shopping; Drugstores,Scottsdale,"32351 N Scottsdale Rd
Scottsdale, AZ 85262",s02x9kPbZii-uw1x0Oyy6w,33.7801176,-111.9257696,Target Stores,,True,5,3.5,AZ,business
25,Shopping Centers; Shopping,Scottsdale,"15205 N Kierland Blvd
Ste 150
Scottsdale, AZ 85254",e9JhcYEgNbRL8i8CTdQO2w,33.624638,-111.930343,Kierland Commons,,True,54,4.5,AZ,business
26,Food; Breweries; American (New); Restaurants,Scottsdale,"7001 N Scottsdale Rd
Ste 147
Scottsdale, AZ 85253",MLAnvEcvDfOWELHUN_0xEw,33.5388471,-111.9641728,Nimbus American Bistro N' Brewery,,False,85,3.0,AZ,business
27,Active Life; Dog Parks; Amateur Sports Teams; Parks,Glendale,"W Union Hills Dr
Glendale, AZ 85308",BtKwRZRMyTIi9BRFk-75sQ,33.6570846738415,-112.179572582245,Foothills Park,,True,15,4.0,AZ,business
28,Pediatric Dentists; Health & Medical; Dentists,Gilbert,"3592 S Atherton Blvd
Ste 107
Gilbert, AZ 85297",MwIM3O0p8V_y2ttXz0_xGw,33.285218,-111.71703,Little Tykes Pediatric Dentistry,,True,5,3.5,AZ,business
29,Pizza; Restaurants,Scottsdale,"7607 E McDowell Road
Suite 101
Scottsdale, AZ 85257",JHp5mJvYe6UtM_QsklR-iw,33.4661264,-111.9175425,Peter Piper Pizza,,True,9,3.0,AZ,business
30,Active Life; Performing Arts; Arts & Entertainment; Dance Studios; Fitness & Instruction,Tempe,"524 W Broadway Rd
Ste 107
Tempe, AZ 85282",O0ayL4r9AbonKwdgelBL3A,33.4076118,-111.9470154,Plaza de Anaya,,True,5,5.0,AZ,business
31,Mexican; Restaurants,Gila Bend,"616 E Pima Street
Gila Bend, AZ 85337",sygb2W4NRadVXiWhW8bnFQ,32.9482948,-112.7113217,Sofia's Mexican Food,,True,10,3.5,AZ,business
32,"Thrift Stores; Used, Vintage & Consignment; Fashion; Shopping",Phoenix,"4532 N 7th St
#B
Phoenix, AZ 85014",ECuS72VSRKpRRFToQiNQxA,33.503223,-112.065449,Nostalgic Alley,,False,4,5.0,AZ,business
33,Caterers; Restaurants; Event Planning & Services; Italian,Phoenix,"1930 W Pinnacle Peak Rd
Ste 119
Phoenix, AZ 85027",JvJjaTJCyUGu5SDpoJWvZg,33.6988429,-112.101312,Meatballz,,False,9,3.0,AZ,business
34,Hair Salons; Beauty & Spas,Phoenix,"4515 E Cactus Rd
Phoenix, AZ 85032",u9b49Z4JmvbP6KTe26lyoA,33.5991424,-111.9820732,Cool Cuts 4 Kids,,True,5,4.0,AZ,business
35,,Scottsdale,"4032 N Miller Road
Scottsdale, AZ 85251",j1Ql05L7wn_8GGLj3jHkWg,33.4939995,-111.9174842,Ford Robert Black Agency,,True,3,5.0,AZ,business
36,Chinese; Restaurants,Phoenix,"4730 E Warner Rd
Phoenix, AZ 85044",507GX11jtCsVYlzaur05_w,33.333182,-111.983142,Panda Garden,,True,27,4.0,AZ,business
37,Fashion; Shopping; Jewelry; Accessories,Phoenix,"2480 W Happy Valley Rd.
Suite 1215
Phoenix, AZ 85085",3ic0B872Tql7dwO4YRTDCw,33.7129657,-112.1114135,Charming Charlie,,True,15,4.5,AZ,business
38,Active Life; Hiking,Scottsdale,"124th St & Via Linda
Scottsdale, AZ 85255",0EE3BohGb4lxWRnHLiqNnw,33.5896225,-111.8134299,Lost Dog Wash Trail,,True,17,4.5,AZ,business
39,Restaurants,Chandler,"3111 W Chandler Blvd Ste 2146
Chandler, AZ 85226",GhC1V0MRGoma3MP0Gn28Fw,33.305681,-111.897553,Ruby's Diner,,False,3,4.5,AZ,business
40,Print Media; Mass Media,Tempe,"PO Box 25589
Tempe, AZ 85285",pvJuii1d2CTQd9BF3gT_Sg,33.3928523,-111.9360171,College Times,,True,3,4.5,AZ,business
41,Arts & Entertainment; Cinema,Glendale,"7700 W. Arrowhead Tn. Ctr.
1079
Glendale, AZ 85308",-nPwp-pg-pTEO2nqo1h_lg,33.6424376443382,-112.225298881531,AMC Arrowhead 14,,True,11,2.5,AZ,business
42,Burgers; Restaurants,Phoenix,"13616 N 35th Ave
Ste 1
Phoenix, AZ 85029",reMYkuDhLk4raAviOFtvOQ,33.597474,-112.119087,Lenny's Burger Shop,,True,38,4.0,AZ,business
43,Delis; Restaurants,Mesa,"4410 E University Dr
Mesa, AZ 85205",MG1IbQUurcXn8NQgXGM34Q,33.423805,-111.735789,Yee-haws,,True,3,3.5,AZ,business
44,Chinese; Restaurants,Phoenix,"9020 N 19th Ave
Phoenix, AZ 85021",KqYY2rwD8ymjU9mVJwiuRQ,33.5682973,-112.0998396,Panda Gourmet,,True,3,3.5,AZ,business
45,Shopping; Antiques,Goodyear,"13277 W McDowell Rd
Goodyear, AZ 85395",idpRaOujsEvnI-LzDSKa6g,33.4618027,-112.3447338,Brass Armadillo Antique Mall,,True,5,4.5,AZ,business
46,Auto Repair; Automotive; Oil Change Stations,Mesa,"2344 E Baseline Rd
Mesa, AZ 85204",vusJ2oza6-jzhzBTeae-OQ,33.37947,-111.783074,Brake Masters,,True,6,4.0,AZ,business
47,Burgers; Restaurants,Scottsdale,"7014-590 E Camelback Rd
Scottsdale, AZ 85251",jvvh4Q00Hq2XyIcfmAAT2A,33.503323,-111.9284569,Five Guys Burger and Fries,,True,52,3.5,AZ,business
